	Cluster	week	outlier
SRR12188568	C02	NA	0
SRR12188569	C02	NA	0
SRR12188570	C11	NA	0
SRR12188571	C02	NA	0
SRR12188572	C02	NA	0
SRR12188573	C11	NA	0
SRR12188574	C12	NA	0
SRR12188575	C02	NA	0
SRR12188576	C02	NA	0
SRR12188579	C02	NA	0
SRR12188580	C11	NA	0
SRR12188581	C11	NA	0
SRR12188582	C11	NA	0
SRR12188583	C11	NA	0
SRR12188584	C02	NA	0
SRR12188586	C02	NA	0
SRR12188587	C02	NA	0
SRR12188589	C02	NA	0
SRR12188590	C11	NA	0
SRR12188591	C12	NA	0
SRR12188592	C12	NA	0
SRR12188594	C02	NA	0
SRR12188595	C12	NA	0
SRR12188596	C02	NA	0
SRR12188597	C12	NA	0
SRR12188598	C11	NA	0
SRR12188600	C12	NA	0
SRR12188601	C11	NA	0
SRR12188602	C12	NA	0
SRR12188603	C12	NA	0
SRR12188604	C12	NA	0
SRR12188607	C02	NA	0
SRR12188608	C12	NA	0
SRR12188609	C12	NA	0
SRR12188613	C11	NA	0
SRR12188615	C12	NA	0
SRR12188617	C02	NA	0
SRR12188618	C12	NA	0
SRR12188619	C12	NA	0
SRR12188620	C12	NA	0
SRR12188622	C02	NA	0
SRR12188623	C11	NA	0
SRR12188625	C12	NA	0
SRR12188626	C02	NA	0
SRR12188627	C12	NA	0
SRR12188628	C11	NA	0
SRR12188630	C11	NA	0
SRR12188631	C11	NA	0
SRR12188633	C11	NA	0
SRR12188634	C08	NA	0
SRR12188638	C10	NA	0
SRR12188639	C10	NA	0
SRR12188640	C11	NA	0
SRR12188641	C14	NA	0
SRR12188642	C11	NA	0
SRR12188643	C11	NA	0
SRR12188644	C02	NA	0
SRR12188647	C02	NA	0
SRR12188648	C02	NA	0
SRR12188649	C02	NA	0
SRR12188650	C02	NA	0
SRR12188652	C02	NA	0
SRR12188653	C02	NA	0
SRR12188655	C02	NA	0
SRR12188657	C02	NA	0
SRR12188658	C02	NA	0
SRR12188659	C02	NA	0
SRR12188660	C11	NA	0
SRR12188662	C11	NA	0
SRR12188664	C12	NA	0
SRR12188665	C11	NA	0
SRR12188667	C12	NA	0
SRR12188668	C11	NA	0
SRR12188669	C12	NA	0
SRR12188670	C12	NA	0
SRR12188671	C12	NA	0
SRR12188672	C12	NA	0
SRR12188673	C12	NA	0
SRR12188675	C02	NA	0
SRR12188677	C02	NA	0
SRR12188678	C12	NA	0
SRR12188681	C18	NA	0
SRR12188682	C12	NA	0
SRR12188683	C12	NA	0
SRR12188684	C15	NA	0
SRR12188686	C15	NA	0
SRR12188687	C12	NA	0
SRR12188688	C04	NA	0
SRR12188689	C13	NA	0
SRR12188690	C07	NA	0
SRR12188691	C10	NA	0
SRR12188692	C11	NA	0
SRR12188693	C02	NA	0
SRR12188694	C12	NA	0
SRR12188695	C12	NA	0
SRR12188698	C11	NA	0
SRR12188699	C02	NA	0
SRR12188700	C02	NA	0
SRR12188701	C11	NA	0
SRR12188702	C12	NA	0
SRR12188703	C12	NA	0
SRR12188705	C11	NA	0
SRR12188706	C12	NA	0
SRR12188710	C12	NA	0
SRR12188712	C05	NA	0
SRR12188717	C11	NA	0
SRR12188722	C02	NA	0
SRR12188723	C15	NA	0
SRR12188724	C12	NA	0
SRR12188725	C11	NA	0
SRR12188727	C02	NA	0
SRR12188728	C15	NA	0
